Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-25,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-07-29,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-01,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-02,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-04,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-05,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-08,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-11,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-12,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-15,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-18,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-25,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-29,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-30,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-08-31,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-01,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-02,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-05,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-08,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-12,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-14,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-15,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-29,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-09-30,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-04,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-05,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-07,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-11,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-14,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-18,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-25,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-10-31,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-01,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-04,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-07,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-08,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-11,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-14,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-18,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-25,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-29,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-11-30,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-01,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-02,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-05,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-07,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-08,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-12,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-14,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-15,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2016-12-29,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-02,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-04,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-05,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-11,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-12,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-18,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-30,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-01-31,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-01,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-02,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-07,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-08,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-14,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-15,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-02-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-01,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-02,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-07,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-08,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-09,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-14,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-15,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-16,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-21,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-22,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-23,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-29,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-30,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-03-31,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-03,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-04,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-05,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-06,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-07,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-10,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-11,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-12,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-13,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-17,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-18,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-19,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-20,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-24,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-25,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-26,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-27,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-04-28,35.000000,35.000000,35.000000,35.000000,21.688425,0
2017-05-02,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-03,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-04,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-05,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-08,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-09,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-10,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-11,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-12,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-15,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-16,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-17,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-18,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-19,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-22,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-23,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-24,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-25,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-26,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-29,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-30,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-05-31,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-01,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-02,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-05,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-06,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-07,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-08,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-09,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-12,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-13,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-14,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-15,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-16,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-19,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-20,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-21,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-22,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-23,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-26,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-27,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-28,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-29,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-06-30,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-03,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-04,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-05,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-06,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-07,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-10,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-11,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-12,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-13,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-14,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-17,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-18,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-19,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-20,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-21,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-24,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-25,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-26,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-27,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-28,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-07-31,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-01,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-02,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-03,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-04,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-07,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-08,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-09,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-10,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-11,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-14,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-15,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-16,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-17,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-18,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-21,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-22,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-23,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-24,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-25,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-28,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-29,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-30,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-08-31,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-01,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-04,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-05,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-06,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-07,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-08,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-11,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-12,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-13,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-14,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-15,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-18,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-19,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-20,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-21,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-22,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-25,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-26,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-27,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-28,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-09-29,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-02,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-03,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-04,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-05,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-06,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-09,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-10,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-11,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-12,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-13,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-16,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-17,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-18,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-19,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-20,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-23,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-24,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-25,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-26,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-27,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-30,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-10-31,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-01,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-02,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-03,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-06,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-07,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-08,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-09,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-10,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-13,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-14,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-15,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-16,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-17,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-20,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-21,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-22,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-23,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-24,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-27,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-28,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-29,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-11-30,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-01,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-04,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-05,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-06,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-07,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-08,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-11,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-12,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-13,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-14,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-15,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-18,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-19,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-20,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-21,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-22,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-25,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-26,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-27,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-28,35.000000,35.000000,35.000000,35.000000,23.640818,0
2017-12-29,35.000000,35.000000,35.000000,35.000000,23.640818,0
2018-01-02,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-03,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-04,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-05,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-08,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-09,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-10,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-11,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-12,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-15,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-16,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-17,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-18,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-19,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-22,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-23,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-24,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-25,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-26,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-29,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-30,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-01-31,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-01,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-02,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-05,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-06,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-07,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-08,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-09,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-14,null,null,null,null,null,null
2018-02-15,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-16,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-19,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-20,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-21,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-22,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-23,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-26,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-27,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-02-28,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-01,35.000000,35.000000,35.000000,35.000000,25.768965,0
2018-03-02,35.000000,35.000000,35.000000,35.000000,25.768965,0
