Date,Open,High,Low,Close,Adj Close,Volume
2010-05-27,null,null,null,null,null,null
2010-05-28,null,null,null,null,null,null
2010-05-31,null,null,null,null,null,null
2010-06-01,null,null,null,null,null,null
2010-06-02,null,null,null,null,null,null
2010-06-04,null,null,null,null,null,null
2010-06-07,null,null,null,null,null,null
2010-06-08,null,null,null,null,null,null
2010-06-09,null,null,null,null,null,null
2010-06-10,null,null,null,null,null,null
2010-06-11,null,null,null,null,null,null
2010-06-14,null,null,null,null,null,null
2010-06-15,null,null,null,null,null,null
2010-06-16,null,null,null,null,null,null
2010-06-17,null,null,null,null,null,null
2010-06-18,null,null,null,null,null,null
2010-06-21,null,null,null,null,null,null
2010-06-22,null,null,null,null,null,null
2010-06-23,null,null,null,null,null,null
2010-06-24,null,null,null,null,null,null
2010-06-25,null,null,null,null,null,null
2010-06-28,null,null,null,null,null,null
2010-06-29,20.670601,20.670601,20.670601,20.670601,20.670601,102
2010-06-30,null,null,null,null,null,null
2010-07-01,null,null,null,null,null,null
2010-07-02,null,null,null,null,null,null
2010-07-05,null,null,null,null,null,null
2010-07-06,null,null,null,null,null,null
2010-07-07,null,null,null,null,null,null
2010-07-08,null,null,null,null,null,null
2010-07-12,null,null,null,null,null,null
2010-07-13,null,null,null,null,null,null
2010-07-14,null,null,null,null,null,null
2010-07-15,null,null,null,null,null,null
2010-07-16,null,null,null,null,null,null
2010-07-19,null,null,null,null,null,null
2010-07-20,null,null,null,null,null,null
2010-07-21,null,null,null,null,null,null
2010-07-22,null,null,null,null,null,null
2010-07-23,null,null,null,null,null,null
2010-07-26,null,null,null,null,null,null
2010-07-27,null,null,null,null,null,null
2010-07-28,null,null,null,null,null,null
2010-07-29,null,null,null,null,null,null
2010-07-30,null,null,null,null,null,null
2010-08-02,null,null,null,null,null,null
2010-08-03,null,null,null,null,null,null
2010-08-04,null,null,null,null,null,null
2010-08-05,null,null,null,null,null,null
2010-08-06,null,null,null,null,null,null
2010-08-09,null,null,null,null,null,null
2010-08-10,null,null,null,null,null,null
2010-08-11,null,null,null,null,null,null
2010-08-12,null,null,null,null,null,null
2010-08-13,null,null,null,null,null,null
2010-08-16,null,null,null,null,null,null
2010-08-17,null,null,null,null,null,null
2010-08-18,null,null,null,null,null,null
2010-08-19,null,null,null,null,null,null
2010-08-20,null,null,null,null,null,null
2010-08-23,null,null,null,null,null,null
2010-08-24,null,null,null,null,null,null
2010-08-25,null,null,null,null,null,null
2010-08-26,null,null,null,null,null,null
2010-08-27,null,null,null,null,null,null
2010-08-30,null,null,null,null,null,null
2010-08-31,null,null,null,null,null,null
2010-09-01,null,null,null,null,null,null
2010-09-02,null,null,null,null,null,null
2010-09-03,null,null,null,null,null,null
2010-09-06,null,null,null,null,null,null
2010-09-08,null,null,null,null,null,null
2010-09-09,null,null,null,null,null,null
2010-09-10,null,null,null,null,null,null
2010-09-13,null,null,null,null,null,null
2010-09-14,null,null,null,null,null,null
2010-09-15,null,null,null,null,null,null
2010-09-16,null,null,null,null,null,null
2010-09-17,null,null,null,null,null,null
2010-09-20,null,null,null,null,null,null
2010-09-21,null,null,null,null,null,null
2010-09-22,null,null,null,null,null,null
2010-09-23,null,null,null,null,null,null
2010-09-24,null,null,null,null,null,null
2010-09-27,null,null,null,null,null,null
2010-09-28,null,null,null,null,null,null
2010-09-29,null,null,null,null,null,null
2010-09-30,null,null,null,null,null,null
2010-10-01,null,null,null,null,null,null
2010-10-04,null,null,null,null,null,null
2010-10-05,null,null,null,null,null,null
2010-10-06,null,null,null,null,null,null
2010-10-07,null,null,null,null,null,null
2010-10-08,null,null,null,null,null,null
2010-10-11,null,null,null,null,null,null
2010-10-13,null,null,null,null,null,null
2010-10-14,null,null,null,null,null,null
2010-10-15,null,null,null,null,null,null
2010-10-18,null,null,null,null,null,null
2010-10-19,null,null,null,null,null,null
2010-10-20,null,null,null,null,null,null
2010-10-21,null,null,null,null,null,null
2010-10-22,null,null,null,null,null,null
2010-10-25,null,null,null,null,null,null
2010-10-26,null,null,null,null,null,null
2010-10-27,null,null,null,null,null,null
2010-10-28,null,null,null,null,null,null
2010-10-29,null,null,null,null,null,null
2010-11-01,null,null,null,null,null,null
2010-11-03,null,null,null,null,null,null
2010-11-04,null,null,null,null,null,null
2010-11-05,null,null,null,null,null,null
2010-11-08,null,null,null,null,null,null
2010-11-09,null,null,null,null,null,null
2010-11-10,null,null,null,null,null,null
2010-11-11,null,null,null,null,null,null
2010-11-12,null,null,null,null,null,null
2010-11-16,null,null,null,null,null,null
2010-11-17,null,null,null,null,null,null
2010-11-18,null,null,null,null,null,null
2010-11-19,null,null,null,null,null,null
2010-11-22,null,null,null,null,null,null
2010-11-23,null,null,null,null,null,null
2010-11-24,null,null,null,null,null,null
2010-11-25,null,null,null,null,null,null
2010-11-26,null,null,null,null,null,null
2010-11-29,null,null,null,null,null,null
2010-11-30,null,null,null,null,null,null
2010-12-01,null,null,null,null,null,null
2010-12-02,null,null,null,null,null,null
2010-12-03,null,null,null,null,null,null
2010-12-06,null,null,null,null,null,null
2010-12-07,null,null,null,null,null,null
2010-12-08,null,null,null,null,null,null
2010-12-09,null,null,null,null,null,null
2010-12-10,null,null,null,null,null,null
2010-12-13,null,null,null,null,null,null
2010-12-14,null,null,null,null,null,null
2010-12-15,null,null,null,null,null,null
2010-12-16,28.545099,28.545099,28.545099,28.545099,28.545099,102
2010-12-17,null,null,null,null,null,null
2010-12-20,null,null,null,null,null,null
2010-12-21,null,null,null,null,null,null
2010-12-22,null,null,null,null,null,null
2010-12-23,null,null,null,null,null,null
2010-12-27,null,null,null,null,null,null
2010-12-28,null,null,null,null,null,null
2010-12-29,null,null,null,null,null,null
2010-12-30,null,null,null,null,null,null
2011-01-03,null,null,null,null,null,null
2011-01-04,null,null,null,null,null,null
2011-01-05,null,null,null,null,null,null
2011-01-06,null,null,null,null,null,null
2011-01-07,null,null,null,null,null,null
2011-01-10,null,null,null,null,null,null
2011-01-11,null,null,null,null,null,null
2011-01-12,null,null,null,null,null,null
2011-01-13,null,null,null,null,null,null
2011-01-14,null,null,null,null,null,null
2011-01-17,null,null,null,null,null,null
2011-01-18,null,null,null,null,null,null
2011-01-19,null,null,null,null,null,null
2011-01-20,null,null,null,null,null,null
2011-01-21,null,null,null,null,null,null
2011-01-24,null,null,null,null,null,null
2011-01-26,null,null,null,null,null,null
2011-01-27,null,null,null,null,null,null
2011-01-28,null,null,null,null,null,null
2011-01-31,null,null,null,null,null,null
2011-02-01,null,null,null,null,null,null
2011-02-02,null,null,null,null,null,null
2011-02-03,null,null,null,null,null,null
2011-02-04,null,null,null,null,null,null
2011-02-07,null,null,null,null,null,null
2011-02-08,null,null,null,null,null,null
2011-02-09,null,null,null,null,null,null
2011-02-10,null,null,null,null,null,null
2011-02-11,null,null,null,null,null,null
2011-02-14,null,null,null,null,null,null
2011-02-15,null,null,null,null,null,null
2011-02-16,null,null,null,null,null,null
2011-02-17,null,null,null,null,null,null
2011-02-18,null,null,null,null,null,null
2011-02-21,null,null,null,null,null,null
2011-02-22,null,null,null,null,null,null
2011-02-23,null,null,null,null,null,null
2011-02-24,null,null,null,null,null,null
2011-02-25,null,null,null,null,null,null
2011-02-28,null,null,null,null,null,null
2011-03-01,null,null,null,null,null,null
2011-03-02,null,null,null,null,null,null
2011-03-03,null,null,null,null,null,null
2011-03-04,null,null,null,null,null,null
2011-03-09,null,null,null,null,null,null
2011-03-10,null,null,null,null,null,null
2011-03-11,null,null,null,null,null,null
2011-03-14,null,null,null,null,null,null
2011-03-15,null,null,null,null,null,null
2011-03-16,null,null,null,null,null,null
2011-03-17,null,null,null,null,null,null
2011-03-18,null,null,null,null,null,null
2011-03-21,null,null,null,null,null,null
2011-03-22,null,null,null,null,null,null
2011-03-23,null,null,null,null,null,null
2011-03-24,null,null,null,null,null,null
2011-03-25,null,null,null,null,null,null
2011-03-28,null,null,null,null,null,null
2011-03-29,null,null,null,null,null,null
2011-03-30,null,null,null,null,null,null
2011-03-31,null,null,null,null,null,null
2011-04-01,null,null,null,null,null,null
2011-04-04,null,null,null,null,null,null
2011-04-05,null,null,null,null,null,null
2011-04-06,null,null,null,null,null,null
2011-04-07,null,null,null,null,null,null
2011-04-08,null,null,null,null,null,null
2011-04-11,null,null,null,null,null,null
2011-04-12,null,null,null,null,null,null
2011-04-13,null,null,null,null,null,null
2011-04-14,null,null,null,null,null,null
2011-04-15,null,null,null,null,null,null
2011-04-18,null,null,null,null,null,null
2011-04-19,null,null,null,null,null,null
2011-04-20,null,null,null,null,null,null
2011-04-25,null,null,null,null,null,null
2011-04-26,null,null,null,null,null,null
2011-04-27,null,null,null,null,null,null
2011-04-28,null,null,null,null,null,null
2011-04-29,null,null,null,null,null,null
2011-05-02,null,null,null,null,null,null
2011-05-03,null,null,null,null,null,null
2011-05-04,null,null,null,null,null,null
2011-05-05,null,null,null,null,null,null
2011-05-06,null,null,null,null,null,null
2011-05-09,null,null,null,null,null,null
2011-05-10,null,null,null,null,null,null
2011-05-11,null,null,null,null,null,null
2011-05-12,null,null,null,null,null,null
2011-05-13,null,null,null,null,null,null
2011-05-16,null,null,null,null,null,null
2011-05-17,null,null,null,null,null,null
2011-05-18,null,null,null,null,null,null
2011-05-19,null,null,null,null,null,null
2011-05-20,null,null,null,null,null,null
2011-05-23,null,null,null,null,null,null
2011-05-24,null,null,null,null,null,null
2011-05-25,null,null,null,null,null,null
2011-05-26,null,null,null,null,null,null
2011-05-27,null,null,null,null,null,null
2011-05-30,null,null,null,null,null,null
2011-05-31,null,null,null,null,null,null
2011-06-01,null,null,null,null,null,null
2011-06-02,null,null,null,null,null,null
2011-06-03,null,null,null,null,null,null
2011-06-06,null,null,null,null,null,null
2011-06-07,null,null,null,null,null,null
2011-06-08,null,null,null,null,null,null
2011-06-09,null,null,null,null,null,null
2011-06-10,null,null,null,null,null,null
2011-06-13,null,null,null,null,null,null
2011-06-14,null,null,null,null,null,null
2011-06-15,null,null,null,null,null,null
2011-06-16,null,null,null,null,null,null
2011-06-17,null,null,null,null,null,null
2011-06-20,34.451000,34.451000,34.451000,34.451000,34.451000,203
2011-06-21,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-06-22,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-06-24,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-06-27,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-06-28,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-06-29,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-06-30,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-01,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-04,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-05,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-06,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-07,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-08,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-11,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-12,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-13,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-14,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-15,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-18,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-19,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-20,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-21,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-22,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-25,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-26,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-27,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-28,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-07-29,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-01,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-02,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-03,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-04,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-05,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-08,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-09,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-10,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-11,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-12,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-15,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-16,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-17,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-18,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-19,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-22,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-23,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-24,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-25,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-26,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-29,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-30,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-08-31,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-01,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-02,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-05,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-06,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-08,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-09,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-12,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-13,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-14,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-15,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-16,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-19,34.451000,34.451000,34.451000,34.451000,34.451000,0
2011-09-20,34.451000,34.451000,34.451000,34.451000,34.451000,0
